iter	Passed	Remaining
0	170	170279
1	191	95683
2	207	68962
3	226	56306
4	243	48483
5	268	44473
6	286	40668
7	303	37637
8	322	35494
9	339	33639
10	359	32344
11	383	31609
12	414	31444
13	437	30802
14	456	30009
15	484	29808
16	511	29566
17	540	29460
18	564	29122
19	583	28600
20	609	28420
21	637	28326
22	660	28041
23	684	27846
24	703	27436
25	733	27491
26	751	27076
27	770	26737
28	788	26390
29	806	26067
30	826	25826
31	844	25544
32	875	25654
33	901	25602
34	933	25734
35	958	25653
36	977	25440
37	996	25224
38	1025	25262
39	1047	25144
40	1078	25223
41	1097	25039
42	1122	24975
43	1144	24876
44	1172	24877
45	1196	24813
46	1227	24891
47	1271	25224
48	1293	25106
49	1322	25129
50	1348	25083
51	1371	24997
52	1391	24858
53	1414	24786
54	1435	24656
55	1452	24481
56	1470	24328
57	1488	24170
58	1507	24036
59	1535	24049
60	1564	24087
61	1587	24011
62	1607	23914
63	1635	23918
64	1663	23922
65	1683	23821
66	1707	23772
67	1724	23633
68	1744	23533
69	1775	23586
70	1804	23607
71	1825	23527
72	1855	23563
73	1878	23503
74	1907	23528
75	1928	23444
76	1956	23453
77	1984	23453
78	2002	23350
79	2022	23259
80	2054	23310
81	2083	23321
82	2106	23271
83	2143	23376
84	2196	23645
85	2228	23684
86	2259	23716
87	2308	23919
88	2343	23983
89	2371	23976
90	2406	24037
91	2440	24089
92	2475	24139
93	2508	24174
94	2538	24181
95	2561	24121
96	2583	24052
97	2605	23985
98	2639	24020
99	2668	24016
100	2719	24204
101	2750	24215
102	2782	24233
103	2820	24302
104	2850	24298
105	2888	24358
106	2920	24371
107	2949	24358
108	2977	24339
109	3016	24408
110	3048	24415
111	3064	24300
112	3093	24283
113	3129	24324
114	3149	24233
115	3179	24226
116	3214	24262
117	3249	24289
118	3280	24290
119	3311	24284
120	3344	24294
121	3381	24336
122	3414	24345
123	3445	24343
124	3473	24315
125	3491	24222
126	3512	24146
127	3534	24077
128	3557	24020
129	3579	23955
130	3619	24007
131	3644	23966
132	3679	23983
133	3721	24053
134	3771	24167
135	3799	24136
136	3824	24094
137	3853	24071
138	3883	24056
139	3917	24067
140	3953	24086
141	3984	24072
142	4003	23992
143	4033	23977
144	4052	23897
145	4073	23829
146	4094	23757
147	4110	23662
148	4134	23612
149	4162	23586
150	4181	23512
151	4202	23444
152	4225	23391
153	4246	23326
154	4265	23252
155	4291	23219
156	4313	23162
157	4332	23087
158	4359	23061
159	4381	23003
160	4402	22941
161	4427	22901
162	4466	22933
163	4505	22964
164	4527	22912
165	4562	22923
166	4591	22902
167	4613	22845
168	4641	22821
169	4663	22766
170	4693	22752
171	4710	22678
172	4727	22601
173	4750	22549
174	4768	22481
175	4787	22415
176	4808	22360
177	4833	22321
178	4856	22276
179	4881	22240
180	4911	22223
181	4937	22193
182	4970	22190
183	5006	22203
184	5046	22234
185	5087	22263
186	5118	22251
187	5138	22194
188	5165	22165
189	5187	22113
190	5217	22100
191	5238	22046
192	5259	21993
193	5278	21931
194	5297	21867
195	5316	21808
196	5344	21785
197	5376	21776
198	5413	21791
199	5445	21781
200	5466	21730
201	5493	21701
202	5515	21654
203	5544	21634
204	5564	21579
205	5593	21560
206	5613	21503
207	5641	21480
208	5662	21429
209	5692	21414
210	5715	21370
211	5743	21347
212	5774	21334
213	5793	21277
214	5823	21261
215	5844	21214
216	5875	21202
217	5908	21196
218	5958	21248
219	5992	21244
220	6026	21241
221	6075	21291
222	6108	21282
223	6145	21291
224	6205	21373
225	6233	21346
226	6259	21315
227	6291	21304
228	6331	21316
229	6366	21314
230	6399	21304
231	6423	21263
232	6455	21251
233	6505	21296
234	6540	21292
235	6571	21273
236	6606	21268
237	6651	21294
238	6708	21361
239	6755	21393
240	6798	21410
241	6845	21440
242	6879	21431
243	6906	21399
244	6930	21357
245	6961	21335
246	6981	21284
247	7016	21274
248	7039	21230
249	7067	21203
250	7097	21180
251	7118	21128
252	7147	21102
253	7171	21061
254	7204	21048
255	7230	21014
256	7264	21002
257	7290	20966
258	7316	20932
259	7339	20889
260	7382	20901
261	7435	20945
262	7483	20970
263	7547	21042
264	7581	21028
265	7601	20976
266	7629	20944
267	7649	20894
268	7679	20868
269	7698	20813
270	7721	20770
271	7745	20730
272	7763	20674
273	7783	20622
274	7809	20588
275	7828	20535
276	7849	20487
277	7872	20445
278	7895	20404
279	7926	20383
280	7953	20351
281	7979	20315
282	8010	20296
283	8041	20273
284	8073	20253
285	8094	20206
286	8123	20180
287	8142	20128
288	8162	20081
289	8189	20050
290	8209	20002
291	8238	19974
292	8291	20006
293	8322	19985
294	8352	19960
295	8372	19912
296	8402	19888
297	8420	19836
298	8443	19796
299	8472	19769
300	8497	19734
301	8520	19693
302	8540	19645
303	8565	19610
304	8590	19574
305	8628	19570
306	8663	19556
307	8697	19540
308	8721	19502
309	8753	19483
310	8788	19470
311	8832	19476
312	8868	19465
313	8903	19452
314	8937	19435
315	8968	19412
316	9002	19397
317	9034	19376
318	9063	19349
319	9085	19306
320	9113	19276
321	9130	19226
322	9165	19210
323	9185	19164
324	9221	19152
325	9248	19121
326	9285	19109
327	9315	19085
328	9350	19069
329	9414	19113
330	9448	19095
331	9481	19078
332	9517	19062
333	9566	19076
334	9602	19062
335	9653	19076
336	9687	19058
337	9718	19034
338	9766	19042
339	9797	19018
340	9817	18972
341	9840	18932
342	9863	18892
343	9884	18850
344	9912	18819
345	9929	18768
346	9948	18720
347	9972	18683
348	9994	18643
349	10015	18600
350	10048	18580
351	10115	18622
352	10166	18633
353	10196	18607
354	10249	18621
355	10305	18642
356	10334	18613
357	10361	18580
358	10391	18553
359	10427	18537
360	10465	18525
361	10541	18578
362	10604	18609
363	10659	18624
364	10707	18627
365	10735	18597
366	10758	18555
367	10789	18530
368	10818	18500
369	10836	18451
370	10856	18406
371	10884	18374
372	10904	18330
373	10926	18288
374	10948	18247
375	10968	18203
376	10987	18157
377	11016	18128
378	11033	18079
379	11054	18035
380	11078	17998
381	11096	17952
382	11119	17913
383	11143	17876
384	11161	17829
385	11182	17787
386	11201	17743
387	11242	17733
388	11278	17715
389	11323	17710
390	11362	17697
391	11426	17722
392	11493	17751
393	11554	17772
394	11608	17780
395	11644	17760
396	11670	17726
397	11689	17680
398	11709	17638
399	11738	17607
400	11756	17560
401	11775	17516
402	11799	17479
403	11816	17432
404	11832	17383
405	11853	17341
406	11873	17299
407	11896	17261
408	11917	17220
409	11933	17173
410	11953	17131
411	11974	17089
412	11997	17051
413	12012	17003
414	12029	16956
415	12051	16918
416	12070	16875
417	12099	16847
418	12118	16803
419	12135	16758
420	12158	16721
421	12182	16686
422	12227	16678
423	12288	16694
424	12345	16702
425	12433	16753
426	12510	16787
427	12553	16777
428	12582	16747
429	12615	16723
430	12643	16692
431	12667	16655
432	12693	16621
433	12713	16579
434	12732	16537
435	12754	16499
436	12779	16464
437	12819	16449
438	12841	16410
439	12865	16374
440	12893	16343
441	12927	16319
442	12958	16293
443	12980	16254
444	13007	16223
445	13033	16189
446	13052	16147
447	13070	16104
448	13088	16061
449	13117	16032
450	13141	15997
451	13164	15961
452	13184	15920
453	13202	15878
454	13227	15843
455	13246	15803
456	13264	15760
457	13283	15719
458	13303	15679
459	13333	15652
460	13360	15621
461	13381	15582
462	13415	15559
463	13443	15529
464	13461	15488
465	13479	15446
466	13499	15407
467	13522	15371
468	13548	15339
469	13575	15308
470	13593	15267
471	13613	15229
472	13641	15198
473	13661	15160
474	13690	15131
475	13715	15098
476	13735	15060
477	13757	15024
478	13777	14985
479	13800	14950
480	13829	14922
481	13859	14895
482	13883	14860
483	13908	14828
484	13936	14798
485	13957	14762
486	13982	14728
487	14001	14690
488	14020	14651
489	14041	14614
490	14070	14586
491	14092	14550
492	14116	14517
493	14136	14479
494	14163	14449
495	14188	14417
496	14220	14392
497	14249	14363
498	14271	14329
499	14300	14300
500	14327	14270
501	14351	14236
502	14381	14209
503	14402	14173
504	14429	14143
505	14448	14105
506	14466	14067
507	14493	14037
508	14511	13998
509	14529	13959
510	14550	13923
511	14569	13887
512	14598	13858
513	14629	13832
514	14660	13806
515	14681	13770
516	14711	13744
517	14738	13714
518	14763	13682
519	14782	13645
520	14810	13616
521	14830	13580
522	14858	13551
523	14876	13514
524	14896	13477
525	14923	13447
526	14947	13415
527	14972	13384
528	14990	13347
529	15010	13311
530	15033	13278
531	15054	13243
532	15076	13209
533	15104	13180
534	15139	13158
535	15170	13132
536	15192	13098
537	15224	13073
538	15251	13044
539	15273	13010
540	15304	12985
541	15334	12958
542	15354	12922
543	15383	12894
544	15404	12860
545	15432	12832
546	15450	12795
547	15469	12759
548	15501	12734
549	15522	12700
550	15543	12666
551	15560	12628
552	15579	12593
553	15596	12556
554	15615	12520
555	15638	12488
556	15660	12454
557	15679	12420
558	15700	12386
559	15721	12352
560	15739	12316
561	15760	12282
562	15784	12251
563	15811	12222
564	15844	12198
565	15879	12176
566	15911	12151
567	15941	12124
568	15970	12097
569	16000	12070
570	16027	12041
571	16054	12012
572	16074	11978
573	16094	11944
574	16117	11912
575	16137	11879
576	16170	11854
577	16189	11820
578	16215	11790
579	16236	11757
580	16257	11724
581	16283	11694
582	16300	11659
583	16321	11625
584	16341	11592
585	16369	11565
586	16394	11534
587	16412	11499
588	16433	11467
589	16452	11432
